,area,parking,bedrooms,pool,gimnasio,lobby,story,area2,balcon,status,price.usd.fit,price.usd.lwr,price.usd.upr,Precio
1,160,2,3,0,1,1,2,25600,1,1,191363.5416,177910.2303,204816.8529," 191,364 "
2,136,2,3,0,1,1,3,18496,1,1,167690.7715,153132.868,182248.675," 158,956 "
3,136,2,3,0,1,1,4,18496,1,1,167690.7715,153132.868,182248.675," 164,779 "
4,136,2,3,0,1,1,5,18496,1,1,167690.7715,153132.868,182248.675," 170,602 "
5,136,2,3,0,1,1,6,18496,1,1,167690.7715,153132.868,182248.675," 176,426 "
6,136,2,3,0,1,1,7,18496,1,1,167690.7715,153132.868,182248.675," 182,249 "
7,198,2,3,0,1,1,2,39204,1,1,228845.4276,215436.3675,242254.4877," 228,845 "
8,144,2,3,0,1,1,3,20736,1,1,175581.6949,161474.183,189689.2067," 167,117 "
9,144,2,3,0,1,1,4,20736,1,1,175581.6949,161474.183,189689.2067," 172,760 "
10,144,2,3,0,1,1,5,20736,1,1,175581.6949,161474.183,189689.2067," 178,403 "
11,144,2,3,0,1,1,6,20736,1,1,175581.6949,161474.183,189689.2067," 184,046 "
12,144,2,3,0,1,1,7,20736,1,1,175581.6949,161474.183,189689.2067," 189,689 "
13,142,2,3,0,1,1,2,20164,1,1,173608.964,159396.0795,187821.8485," 159,396 "
14,142,2,3,0,1,1,3,20164,1,1,173608.964,159396.0795,187821.8485," 165,081 "
15,142,2,3,0,1,1,4,20164,1,1,173608.964,159396.0795,187821.8485," 170,766 "
16,142,2,3,0,1,1,5,20164,1,1,173608.964,159396.0795,187821.8485," 176,452 "
17,142,2,3,0,1,1,6,20164,1,1,173608.964,159396.0795,187821.8485," 182,137 "
18,142,2,3,0,1,1,7,20164,1,1,173608.964,159396.0795,187821.8485," 187,822 "
19,137,2,3,0,1,1,2,18769,1,1,168677.1369,154179.6648,183174.609," 154,180 "
20,137,2,3,0,1,1,3,18769,1,1,168677.1369,154179.6648,183174.609," 159,979 "
21,137,2,3,0,1,1,4,18769,1,1,168677.1369,154179.6648,183174.609," 165,778 "
22,137,2,3,0,1,1,5,18769,1,1,168677.1369,154179.6648,183174.609," 171,577 "
23,137,2,3,0,1,1,6,18769,1,1,168677.1369,154179.6648,183174.609," 177,376 "
24,137,2,3,0,1,1,7,18769,1,1,168677.1369,154179.6648,183174.609," 183,175 "
25,116,2,2,0,1,1,2,13456,1,1,147963.4631,131976.871,163950.0552," 131,977 "
26,116,2,2,0,1,1,3,13456,1,1,147963.4631,131976.871,163950.0552," 138,372 "
27,116,2,2,0,1,1,4,13456,1,1,147963.4631,131976.871,163950.0552," 144,766 "
28,116,2,2,0,1,1,5,13456,1,1,147963.4631,131976.871,163950.0552," 151,161 "
29,116,2,2,0,1,1,6,13456,1,1,147963.4631,131976.871,163950.0552," 157,555 "
30,116,2,2,0,1,1,7,13456,1,1,147963.4631,131976.871,163950.0552," 163,950 "
31,104,2,2,0,1,1,2,10816,1,1,136127.078,119111.0475,153143.1085," 119,111 "
32,104,2,2,0,1,1,3,10816,1,1,136127.078,119111.0475,153143.1085," 125,917 "
33,104,2,2,0,1,1,4,10816,1,1,136127.078,119111.0475,153143.1085," 132,724 "
34,104,2,2,0,1,1,5,10816,1,1,136127.078,119111.0475,153143.1085," 139,530 "
35,104,2,2,0,1,1,6,10816,1,1,136127.078,119111.0475,153143.1085," 146,337 "
36,104,2,2,0,1,1,7,10816,1,1,136127.078,119111.0475,153143.1085," 153,143 "
