story,type,area,terrace,total.area,bedrooms,parking,pool,lobby,balcon
2,A,136,24,160,3,2,FALSE,TRUE,TRUE
2,B,144,54,198,3,2,FALSE,TRUE,TRUE
2,C,142,,142,3,2,FALSE,TRUE,TRUE
2,D,137,,137,3,2,FALSE,TRUE,TRUE
2,E,116,,116,2,2,FALSE,TRUE,TRUE
2,F,104,,104,2,2,FALSE,TRUE,TRUE
3,A,136,,136,3,2,FALSE,TRUE,TRUE
3,B,144,,144,3,2,FALSE,TRUE,TRUE
3,C,142,,142,3,2,FALSE,TRUE,TRUE
3,D,137,,137,3,2,FALSE,TRUE,TRUE
3,E,116,,116,2,2,FALSE,TRUE,TRUE
3,F,104,,104,2,2,FALSE,TRUE,TRUE
4,A,136,,136,3,2,FALSE,TRUE,TRUE
4,B,144,,144,3,2,FALSE,TRUE,TRUE
4,C,142,,142,3,2,FALSE,TRUE,TRUE
4,D,137,,137,3,2,FALSE,TRUE,TRUE
4,E,116,,116,2,2,FALSE,TRUE,TRUE
4,F,104,,104,2,2,FALSE,TRUE,TRUE
5,A,136,,136,3,2,FALSE,TRUE,TRUE
5,B,144,,144,3,2,FALSE,TRUE,TRUE
5,C,142,,142,3,2,FALSE,TRUE,TRUE
5,D,137,,137,3,2,FALSE,TRUE,TRUE
5,E,116,,116,2,2,FALSE,TRUE,TRUE
5,F,104,,104,2,2,FALSE,TRUE,TRUE
6,A,136,,136,3,2,FALSE,TRUE,TRUE
6,B,144,,144,3,2,FALSE,TRUE,TRUE
6,C,142,,142,3,2,FALSE,TRUE,TRUE
6,D,137,,137,3,2,FALSE,TRUE,TRUE
6,E,116,,116,2,2,FALSE,TRUE,TRUE
6,F,104,,104,2,2,FALSE,TRUE,TRUE
7,A,136,,136,3,2,FALSE,TRUE,TRUE
7,B,144,,144,3,2,FALSE,TRUE,TRUE
7,C,142,,142,3,2,FALSE,TRUE,TRUE
7,D,137,,137,3,2,FALSE,TRUE,TRUE
7,E,116,,116,2,2,FALSE,TRUE,TRUE
7,F,104,,104,2,2,FALSE,TRUE,TRUE
